============================================================
  Generated by:           Genus(TM) Synthesis Solution 25.12-s067_1
  Generated on:           Jan 13 2026  11:56:34 pm
  Technology libraries:   sky130_fd_sc_hd__ff_100C_1v65 1.0000000000
                          sky130_fd_sc_hd__ff_100C_1v65 1.0000000000
  Operating conditions:   ff_100C_1v65 (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                                                               
           Gate             Instances    Area               Library            
-------------------------------------------------------------------------------
sky130_fd_sc_hd__a211oi_1          86    645.619 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a21boi_0           3     22.522 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a21boi_1           4     30.029 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a21o_1             7     52.550 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a21oi_1          349   1746.675 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a221o_1           36    360.346 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a221oi_1         120   1051.008 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a222oi_1          32    320.307 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a22o_1            87    761.981 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a22oi_1          134   1005.965 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a2bb2o_1           1     10.010 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a2bb2oi_1         40    350.336 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a31oi_1           44    275.264 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a32o_1             1     10.010 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a32oi_1           52    455.437 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__a41oi_1            2     17.517 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__and2_1          2003  12530.768 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__and3_1             5     31.280 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__and3b_1            1      8.758 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__and4b_1            1     10.010 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__clkinv_1          77    289.027 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__dfrbp_1           20    575.552 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__dfrtp_1         3268  81778.432 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__dfxbp_1            1     23.773 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__dfxtp_1         1361  27246.130 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__dlxtn_1            9    135.130 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__fa_1             836  16736.050 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__ha_1              25    312.800 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__inv_1            104    390.374 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__inv_16             1     20.019 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__inv_2            410   1538.976 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__maj3_1             5     50.048 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__mux2_1             1     11.261 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__mux2i_1            2     20.019 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nand2_1          537   2015.683 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nand2b_1         269   1682.864 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nand3_1           38    190.182 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nand3b_1          54    405.389 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nand4_1           23    143.888 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nand4b_1          25    218.960 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nor2_1           618   2319.725 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nor2b_1          379   2371.024 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nor3_1            18     90.086 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nor3b_1           32    240.230 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nor4_1            10     62.560 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__nor4b_1           24    210.202 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o2111ai_1          3     26.275 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o211a_1            1     10.010 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o211ai_1           6     45.043 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o21a_1            49    367.853 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o21ai_0          220   1101.056 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o21ai_1          190    950.912 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o21ba_2            1     10.010 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o21bai_1           7     52.550 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o221a_2            9    101.347 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o221ai_1         110    963.424 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o22a_1            18    157.651 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o22ai_1          270   1689.120 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o2bb2a_1           1     10.010 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o2bb2ai_1         30    262.752 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o31a_1             2     17.517 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o31ai_1            4     30.029 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o32a_1            24    240.230 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o32ai_1            4     35.034 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__o41ai_1           23    201.443 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__or2_1             12     75.072 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__or2_2             59    369.104 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__or3_1              5     31.280 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__or3b_2             1      8.758 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__or4_1             23    172.666 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__sdfrtp_1         306   9571.680 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__xnor2_1           45    394.128 sky130_fd_sc_hd__ff_100C_1v65 
sky130_fd_sc_hd__xor2_1           117   1024.733 sky130_fd_sc_hd__ff_100C_1v65 
-------------------------------------------------------------------------------
total                           12695 176694.462                               
                                           
     Type      Instances    Area    Area % 
-------------------------------------------
sequential          4965 119330.697   67.5 
inverter             592   2238.397    1.3 
logic               7138  55125.369   31.2 
physical_cells         0      0.000    0.0 
-------------------------------------------
total              12695 176694.462  100.0 
